target_rr,Timeframe,Equity Final,Profit Factor,Avg Trade,Expectancy,Trades,Wins,Losses,Win Rate %,Max DD %,Max DD $
2.0,30m,101755.1199999981,1.2972895147821606,9.696795580110658,9.696795580110653,181,93,88,51.38121546961326,0.9083894103123608,921.87000000033
1.5,30m,101641.23999999778,1.2598802603806332,7.741698113207717,7.741698113207715,212,118,94,55.660377358490564,0.888467374063122,901.200000000812
3.0,30m,101482.6099999985,1.2655141907477223,10.367902097902235,10.367902097902238,143,64,79,44.75524475524475,1.1327942593353773,1149.870000000592
2.5,30m,101317.00999999829,1.2213458464775733,8.079815950920391,8.079815950920391,163,76,87,46.62576687116564,1.3352594200992869,1354.9800000006653
1.0,30m,100919.55999999735,1.136535737512145,3.634624505929024,3.634624505929022,253,150,103,59.28853754940712,0.9550593702246938,967.0000000009168
