sma_period,Timeframe,Equity Final,Profit Factor,Avg Trade,Expectancy,Trades,Wins,Losses,Win Rate %,Max DD %,Max DD $
5,30m,101691.46999999674,1.2074827595512543,5.438810289389282,5.438810289389281,311,153,158,49.19614147909968,1.1490002007989877,1175.330000000351
30,30m,101526.03999999736,1.2439345645898208,6.055714285714441,6.055714285714441,252,124,128,49.2063492063492,0.7500452441487518,759.2600000002567
10,30m,101284.07999999708,1.1747906114431792,4.602437275985855,4.6024372759858565,279,136,143,48.74551971326165,0.8641184151950454,879.9800000006653
20,30m,101203.42999999729,1.1822393038916896,4.646447876448039,4.646447876448036,259,125,134,48.26254826254826,0.9512269630731942,964.6600000003091
50,30m,101094.33999999746,1.1757117809134234,4.522066115702623,4.5220661157026285,242,119,123,49.17355371900827,1.1997991938126333,1214.5800000008749
15,30m,100879.91999999716,1.1234734557047892,3.246937269372875,3.2469372693728786,271,128,143,47.23247232472325,1.105292736220217,1119.8700000011158
80,30m,100286.38999999757,1.0445180565573209,1.2344396551725485,1.2344396551725438,232,113,119,48.706896551724135,1.5692273441278175,1585.9200000009587
