timeframe,Timeframe,Equity Final,Profit Factor,Avg Trade,Expectancy,Trades,Wins,Losses,Win Rate %,Max DD %,Max DD $
30,30m,101526.03999999736,1.2439345645898208,6.055714285714441,6.055714285714441,252,124,128,49.2063492063492,0.7500452441487518,759.2600000002567
10,10m,100643.6599999952,1.0636867804861274,1.405371179039555,1.4053711790395518,458,203,255,44.32314410480349,0.8368649617980264,846.5500000008906
15,15m,100539.33999999615,1.0626051951609743,1.4695912806541693,1.4695912806541713,367,164,203,44.6866485013624,1.1168348972514084,1127.6300000012416
60,60m,100183.6899999982,1.0330596509920262,1.0679651162791572,1.0679651162791544,172,88,84,51.162790697674424,1.2505383415667262,1261.6500000007072
5,5m,98514.73999999254,0.9030623033847333,-2.0860393258423877,-2.086039325842389,712,277,435,38.90449438202247,2.268105861983559,2280.9100000062026
1,1m,96865.81999998477,0.8834298509566257,-2.15188575361285,-2.1518857536128486,1453,535,918,36.82037164487268,3.9118640495470363,3927.1700000136625
