stop_points,Timeframe,Equity Final,Profit Factor,Avg Trade,Expectancy,Trades,Wins,Losses,Win Rate %,Max DD %,Max DD $
30,30m,101755.1199999981,1.2972895147821606,9.696795580110658,9.696795580110653,181,93,88,51.38121546961326,0.9083894103123608,921.87000000033
20,30m,101526.03999999736,1.2439345645898208,6.055714285714441,6.055714285714441,252,124,128,49.2063492063492,0.7500452441487518,759.2600000002567
25,30m,101069.9499999978,1.168712333605604,5.09500000000016,5.095000000000159,210,103,107,49.047619047619044,0.9727796213391642,983.330000000351
10,30m,100906.62999999613,1.1388645525725782,2.4569918699188373,2.456991869918838,369,188,181,50.94850948509485,0.526446200719086,531.1600000003091
15,30m,100238.1199999968,1.03387906148228,0.7781699346406801,0.7781699346406761,306,145,161,47.385620915032675,1.1214896232449434,1131.9400000012101
